tgt_word,src_word,Score
der,the,0.4522643901739439
die,the,0.42851795705061074
und,and,0.5853275075733161
von,of,0.35065145618873106
von,from,0.24643739112899735
von,by,0.3185220994122979
den,the,0.31775835988683127
das,this,0.18075546419162808
das,the,0.2906349502236209
das,that,0.18854140814158538
das,das,0.0640769312442674
des,des,0.11305073781321201
mit,using,0.15683563347662774
mit,with,0.4951107076986005
mit,mit,0.08791870301275637
ist,is,0.5925888055513411
für,for,0.46124206987649763
auf,on,0.42367002768688705
auf,at,0.2667752907281619
auf,to,0.19055969800593048
ein,a,0.36267872869649836
ein,an,0.233530654942661
ein,one,0.1868970866657369
ein,ein,0.004569034505934662
als,as,0.4195777170649023
als,als,0.03331551363826323
dem,the,0.2822876146168198
eine,a,0.4099131400465496
eine,an,0.21546220186060758
eine,one,0.14402774346226865
wurde,was,0.497057053476552
wurde,became,0.2796090514268824
auch,even,0.2263692044358262
auch,also,0.441535363361658
auch,too,0.08586678321952948
nicht,not,0.376072399378793
nach,to,0.2145393063837727
nach,after,0.33206938332012853
war,was,0.42121516308168694
bei,bei,0.06737565391651319
bei,at,0.33222375297320206
bei,in,0.24394679976168038
aus,aus,0.13012969685097037
aus,from,0.44612825320986016
aus,out,0.09928626183453981
sie,you,0.08009120195039363
sie,she,0.3736461427774007
sie,they,0.3542126816185531
cest,cest,-0.04652338081681703
bis,to,0.15054690307839325
bis,pending,0.02653097508288224
bis,up,0.1707372778329774
bis,bis,0.102380836344731
bis,until,0.3414571022002713
ich,me,0.2675611548552505
ich,i,0.3556682486016376
ich,ich,0.13938685047320365
einer,an,0.236874006806167
einer,one,0.1135383440352919
werden,will,0.2788005468895976
werden,become,0.1488775030615152
werden,becoming,0.09584803657766275
werden,be,0.36909381208041825
sind,are,0.565117274385801
oder,oder,-0.013619166707132282
oder,or,0.5052396141295918
wird,will,0.27823263001058257
wird,becomes,0.2835464122358372
wird,is,0.40315434423757457
durch,thru,0.1550490810894639
durch,through,0.3123354447192434
durch,by,0.3152762454659104
score,score,0.2528578816054025
zur,zur,0.07947517957523481
einen,a,0.37552825019829567
einen,an,0.25194782948899574
einen,one,0.1796278697590284
dass,that,0.40368513826963504
über,on,0.2361602321631785
über,about,0.2977075821134754
über,via,0.27540140286901216
über,over,0.36010962779292993
über,above,0.16088673100855136
einem,a,0.3204514720796334
einem,an,0.26062014230711633
aber,but,0.440869002947555
wie,how,0.1871637742673296
wie,wie,0.022260624225656056
wie,like,0.4184936062118494
wie,as,0.23593081651095238
nur,only,0.46991346482286356
nur,nur,-0.020303560824618747
nur,just,0.2870709388758299
noch,still,0.37815846121220026
noch,yet,0.29596197523482237
noch,nor,0.15712441620664364
unter,unter,0.08216490898756172
unter,at,0.10212861757916855
unter,under,0.5702764719870522
hat,has,0.44877046170593865
hat,hat,0.11671193002618258
artikel,article,0.35137959736489927
artikel,items,0.0018614594444702065
artikel,articles,0.3427355075264724
man,man,0.2134252840202551
vor,front,0.17107800607732462
vor,pre,0.1638792519696529
vor,prior,0.19862913463737103
vor,before,0.23642466525334485
wurden,became,0.16014999551609466
wurden,were,0.5176730785987463
sein,be,0.1565832005665086
sein,his,0.26498224606170595
sein,sein,0.03588070396874439
diese,this,0.22997021440921878
diese,these,0.2991836876185122
vom,of,0.14229858981863786
vom,from,0.26547691877062307
vom,vom,0.09047660307705312
kann,may,0.2485429791738548
kann,can,0.4626979557219379
hier,here,0.344178618186081
diskussion,discussions,0.16156718629346598
diskussion,discussion,0.11674762415685884
diskussion,debate,0.0853690153617934
seine,his,0.4149405184009437
seine,its,0.1487539181888965
seine,seine,-0.02927249967625733
seit,since,0.40927193110485555
dieser,this,0.22546533483627668
jahr,year,0.4057306326322754
wenn,when,0.24628715755793512
wenn,if,0.35128034992295837
dann,then,0.5426395500471993
zwei,two,0.6050647689129101
seiner,his,0.3217677752913405
seiner,its,0.11972039319156376
jahre,yrs,0.262084061170827
jahre,year,0.34680974182839486
jahre,years,0.46205888291673597
mai,may,0.48650648900111837
mai,mai,0.09442435574704844
isbn,isbn,0.6389001810447772
was,what,0.3309839739530456
sowie,and,0.4083875417973404
