tgt_word,src_word,Score
que,that,0.4556622776706215
del,of,0.3939769508244887
del,del,0.1548155623953847
los,the,0.35951205448196144
por,by,0.588808662211934
con,with,0.5404170446080842
las,the,0.31864803366678424
una,a,0.4538059695981787
una,an,0.30791024271876977
una,one,0.18518103334603886
categoría,category,0.33517776819008893
para,to,0.3110826643793102
para,for,0.45296270327372323
como,how,0.07893348320960204
como,as,0.543188613132076
como,like,0.25398572099469496
fue,was,0.5292750538353826
más,more,0.47668610521192084
sus,their,0.4373380022433652
sus,his,0.34124801108534264
sus,your,0.10523982950282469
sus,its,0.20411412497009643
también,also,0.5372748379510872
también,too,0.039289746309139534
entre,among,0.3194528414336382
entre,entre,0.1133782423096006
entre,between,0.5855169850328718
este,this,0.2968769603625703
este,east,0.1298896723303297
pero,but,0.4760754700789494
años,years,0.541546127976725
dos,dos,0.12567197304799962
dos,two,0.6000172492543341
son,are,0.5113766180987608
sobre,on,0.33616379293822174
sobre,about,0.3452552784976833
sobre,envelope,0.048445375043382616
año,year,0.45344449486620436
desde,since,0.35136908058159394
desde,from,0.2931749080583329
esta,this,0.33991996831320703
enlaces,links,0.29306596765221266
hasta,even,0.12294582008944951
hasta,until,0.4390449257274042
externos,external,0.4033514306700483
ciudad,town,0.4306181679915013
ciudad,city,0.5717344929296452
ciudad,ciudad,0.28248120979090086
ser,being,0.3759520588575207
ser,be,0.40765351342656375
ser,ser,0.06579915487947656
parte,party,0.04161740640359861
parte,part,0.5232263443022251
durante,during,0.5974539714271854
sin,without,0.40940732194840534
sin,sin,0.09343817734634328
donde,where,0.5970020458956026
san,san,0.5303697185028833
san,saint,0.41792147932146695
era,was,0.41720924422309
nacional,national,0.5848366500066694
nacional,nacional,0.4087382591225702
primera,first,0.4874193548102945
está,is,0.5257335214668996
team,team,0.4250673466175674
cuando,when,0.5687630306015491
nombre,name,0.6879028133891256
estados,states,0.5215027280391349
utc,utc,0.42113185963766464
siglo,siglo,0.07865923213323636
siglo,century,0.5363625535440919
después,after,0.5231904007947621
después,later,0.3980168457165225
españa,spain,0.5339566317854588
tiene,has,0.3578927780152037
otros,other,0.4556087556589842
otros,others,0.4216324780903279
gran,big,0.2703488582463347
gran,great,0.48050262198439947
gran,gran,0.2459182137967841
gran,grand,0.2961444127591215
unidos,united,0.4490023835832505
puede,can,0.4665416030823044
estado,status,0.12215929317242473
estado,state,0.5399176844756424
estado,condition,0.1424394062232844
uno,uno,0.10189979825656027
uno,one,0.5068491896144992
lugar,venue,0.24599055353232938
lugar,place,0.544800365527841
lugar,location,0.348624198035629
primer,first,0.5320979851289732
así,so,0.19222855644348374
población,population,0.49202669255635034
muy,very,0.5560959253139159
había,had,0.5032590416812277
mismo,same,0.438300630032746
nueva,new,0.6511776969535431
fueron,were,0.4785733766886491
historia,story,0.28962387316774324
historia,history,0.5516195849493117
club,club,0.5940086744101376
eran,were,0.39032196054685164
cual,which,0.44435630000490234
universidad,university,0.6486221453657828
universidad,college,0.3949891979907266
forma,shape,0.3511651329056672
forma,form,0.42460471588977594
tres,tres,0.13228998311647958
tres,three,0.6130126594210978
grupo,grupo,0.22499422373790032
grupo,group,0.6530966415766315
general,general,0.5918051564619999
guerra,war,0.6348234912578219
guerra,warfare,0.32448861598866097
aunque,although,0.5119526368832656
aunque,though,0.4729349650072868
tras,after,0.5271501031801409
familia,families,0.41269285006574874
familia,family,0.7020457296432505
además,also,0.40965284708167593
además,plus,0.31677168978133347
todo,everything,0.3138291345860604
todo,all,0.34451267427682564
sur,southern,0.4130977497661297
sur,sur,0.29203687516366184
sur,south,0.5248270391643435
mayor,major,0.36381027939940036
tiempo,weather,0.10103270822095341
tiempo,time,0.472015466360137
provincia,province,0.644218659835512
partido,party,0.4444503933085212
partido,match,0.15880259679512707
contra,counter,0.28085441475381157
contra,against,0.6513355929041066
contra,contra,0.1672533012739991
encuentra,find,0.14679414329676493
encuentra,finds,0.20128720209148435
municipio,township,0.4156072885086663
municipio,municipality,0.43904371490484523
otras,other,0.42869234259790806
otras,others,0.2476185479104095
todos,everybody,0.23596589633277903
todos,all,0.4754322237290962
todos,everyone,0.305783284333004
juan,john,0.26815327740313866
