tgt_word,src_word,Score
los,die,0.5713466611449035
por,von,0.5192877592002221
por,durch,0.5378220807410832
con,mit,0.6778467110346076
una,eine,0.6457311829154306
una,ein,0.5475921279268825
categoría,kategorie,0.377876625364044
para,für,0.6115760599475064
como,wie,0.5288457716132662
como,als,0.6958291077173753
fue,war,0.6309853090342452
más,weitere,0.36124587123933405
más,mehr,0.5297065425984456
sus,ihre,0.5769766647722182
sus,seine,0.6038128552534864
también,außerdem,0.6676167420146126
también,auch,0.7423004435509085
entre,zwischen,0.6630051572245537
#redirección,#weiterleitung,0.6326567960564514
este,dieser,0.5547452626459642
este,dieses,0.4370743840030588
este,osten,0.32650261285107907
pero,aber,0.7690695144571362
años,jahren,0.6895868374293888
años,jahre,0.6999115608356863
dos,zwei,0.7411560070606207
son,sind,0.7103347862447835
sobre,über,0.5703985881342863
sobre,umschlag,0.3016489433644459
año,jahreszahl,0.3522155159720415
año,jahr,0.6992497616703518
desde,von,0.3653970907623224
desde,seit,0.4885667378756651
esta,dieser,0.6549430261405593
esta,diese,0.5984799655232754
enlaces,verknüpfungen,0.47007248155332415
enlaces,links,0.35939873759235097
hasta,bis,0.6194323243944378
hasta,sogar,0.39026425595281256
externos,extern,0.4003520394876573
externos,externen,0.515396113064365
ciudad,stadt,0.733773158621797
ser,sein,0.42465581372188344
parte,teil,0.6211529699793741
durante,während,0.7068697379707503
sin,ohne,0.6071312082911955
donde,wo,0.6760409680312185
san,san,0.7062316624915911
era,war,0.6059544271635288
nacional,nationale,0.601649976337225
nacional,nationalen,0.5876930941861538
primera,erste,0.6444099256941096
primera,erstes,0.4680276264569581
primera,erster,0.4475673224557931
primera,ersten,0.5930706928385884
team,team,0.6040975043355292
cuando,wenn,0.6026580149219998
seed,seed,0.6469863889746276
nombre,namen,0.7284490798633947
nombre,vorname,0.37628400209231494
nombre,name,0.6095195366075936
estados,zustände,0.1807404923392948
estados,staaten,0.691807272746791
utc,utc,0.40844761538637453
siglo,jahrhundert,0.685899620003722
siglo,jahrhunderts,0.6594837819996072
después,danach,0.5673152520028242
después,nachher,0.47330300113337526
españa,spanien,0.7039580244531052
tiene,hat,0.5985759105587538
otros,sonstiges,0.3019563425517884
otros,andere,0.6051152717886132
otros,sonstige,0.36274682998549757
gran,großen,0.6135298854086075
gran,große,0.6319595333160564
gran,großer,0.5700082067005979
gran,großes,0.5145063731682172
unidos,vereinigten,0.6389575707636288
unidos,vereinigt,0.08458586652890546
unidos,vereint,0.13429334105512153
puede,kann,0.7203484528247912
estado,staat,0.5522367353448234
estado,status,0.2735659994363644
estado,zustand,0.3496273992829605
estado,bundesstaat,0.5445613064525037
